Key,Desc,Default,French
Choose Color,,Choose [DA1918]C[E18438]o[E7E52C]l[31B32B]o[1F87FF]r,Choisissez [DA1918] C [E18438] o [E7E52C] l [31B32B] o [1F87FF] r
"Choose between a box, hex horizontal, or hex vertical grid.",,"Choose between a box, hex horizontal, or hex vertical grid.","Choisir entre une boîte, horizontal hexagonale, ou une grille verticale hexagonale."
Choose between automatic or custom turns.,,Choose between automatic or custom turns.,Choisissez entre les tours automatiques ou personnalisés.
Choose between the old (Static) grid and the new one (Projection).,,Choose between the old (Static) grid and the new one (Projection).,Choisissez entre l'ancienne grille (statique) et la nouvelle (projection).
Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,,Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,Choisissez parmi une variété de LUT (Look-up Texture) pour changer la couleur classement de la scène.
Choose the location for your mods folder.,,Choose the location for your mods folder.,Choisissez l'emplacement de votre dossier de Mods.
Circle,,Circle,Cercle
Classic Games that are included as part of Tabletop Simulator by default.,,Classic Games that are included as part of Tabletop Simulator by default.,Jeux classiques qui sont inclus dans le cadre d'un simulateur par défaut. Tabletop
Clear the table.,,Clear the table.,Débarrasse la table.
Click Tooltip on Menu,,Click Tooltip on Menu,Cliquez sur le menu infobulle
Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Right click to change the color of the hand.,,Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Left-click to change the color of the hand.,Cliquez sur une main de joueur pour le supprimer. Cliquez et faites glisser pour créer une nouvelle main. Vous pouvez avoir plusieurs mains de la même couleur. Faites un clic droit pour changer la couleur de la main.
Click and drag a zone for a Fog of War area.,,Click and drag a zone for a Fog of War area.,Cliquez et faites glisser pour une zone de brouillard de guerre.
Click and drag a zone for your personal hidden area. Right click to change the color or click the settings gear for more options. Click again to delete the zone.,,Click and drag a zone for your personal hidden area. Left-click to change the color or click the settings gear for more options.,Cliquez et faites glisser une zone pour votre zone cachée personnelle. Faites un clic droit pour changer la couleur ou cliquez sur l'engrenage des paramètres pour plus d'options. Cliquez à nouveau pour supprimer la zone.
"Click and drag to create a randomized zone. Everything in this zone will be randomized when you right click on it. This is good for randomizing cards, tiles, etc for games that need it.",,"Click and drag to create a randomized zone. Let-click it to show the Randomize button. This is good for randomizing cards, tiles, etc for games that need it.","Cliquez et faites glisser pour créer une zone aléatoire. Tout dans cette zone sera aléatoire lorsque vous faites un clic droit dessus. Ce qui est bon pour les cartes, les tuiles, randomiser etc pour les jeux qui en ont besoin."
Click edit to start typing here,,Click edit to start typing here,Cliquez sur Modifier pour commencer à taper ici
Click in the (Right Stick) to reset the camera.,,Click in the <Right Stick> to reset the camera.,Utilisez <Stick droit> pour repositionner la caméra.
Click to End Turn,,Click to End Turn,Cliquez pour mettre fin à tour
Click to open page to knowledge base.,,Click to open page to knowledge base.,Cliquez pour ouvrir la documentation
Clone,,Clone,Cloner
Clone copied objects to this location. This can also be done in the Global Contextual Menu.,,Clone copied objects to this location. This can also be done in the Global Contextual Menu.,Colle un clone copié à cet endroit. Cela peut aussi se faire dans le menu contextuel global.
Cloud Manager,,Cloud Manager,Gestionnaire du Cloud
Clubs,,Clubs,clubs
Code,,Code,Code
Coin,,Coin,Pièce de monnaie
Collapse-Show Modding Actions,,Collapse/Show Modding Actions,Réduire / Afficher les actions Modding
Collapse-Show Movement Actions,,Collapse/Show Movement Actions,Réduire / Afficher les actions Mouvement
Collapse-Show Object Properties,,Collapse/Show Object Properties,Réduire / Afficher les propriétés d'un objet
Collider,,Collider,Collider
Collision,,Collision,Collision
Color,,Color,Couleur
Color Tint,,Color Tint,Couleur
Color which Fog of War is revealed for. (Black = All),,Color which Fog of War is revealed for. (Black = All),Couleur pour qui est révélé le brouillard de guerre. (Noir = Tous)
Combine,,Combine,Combiner
Combine Into Decks,,Combine Into Decks,Combiner en ponts
Combine all selected objects into a single object.,,Combine all selected objects into a single object.,Mélanger tous les objets sélectionnés en un seul objet.
Combining,,Combining,Combinaisons
"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.",,"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.","Simulation complète de la physique. Les objets peuvent être jetés, les pièces peuvent abattre d'autres pièces, etc."
Complexity,,Complexity,Complexité
Component Spread Distance,,Component Spread Distance,Distance de propagation des composants
Component States Wrap,,Component States Wrap,Component States Wrap
Component Tags,,Component Tags,Composant Mots clés
Component Tooltip Delay,,Component Tooltip Delay,Temps infobulle composant
Configuration,,Configuration,Configuration
"Congratulations! You finished the tutorial! You can leave by clicking the 'Menu' button on the top bar, then click 'Main Menu'",,"Congratulations! You finished the tutorial!
You can leave by clicking the 'Menu' button on the top bar,
then click 'Main Menu'","Toutes nos félicitations ! Vous avez terminé le tutoriel !
Vous pouvez laisser en cliquant sur le bouton « Menu » sur la barre supérieure,
puis cliquez sur « Menu principal »"
Connect,,Connect,Se connecter
Connect to IRC,,Connect to IRC,Se connecter à l'IRC
Connected Anchor,,Connected Anchor,Anchor Connected
Connected through Steam relay servers. Experience might not be optimal.,,"Connected through Steam relay servers. Experience might not be optimal.

Port Forward:
UDP 3478 (Outbound)
UDP 4379 (Outbound)
UDP 4380 (Outbound)","Connecté par l'intermédiaire des serveurs de relais de vapeur. L'expérience pourrait ne pas être optimale.

Port Forward:
UDP 3478 (sortante)
UDP 4379 (sortante)
UDP 4380 (sortante)"
Connecting to this player.,,Connecting to this player.,Connexion à ce joueur.
Connecting...,,Connecting...,De liaison...
Console Hotkey Lock,,Console Hotkey Lock,Verrouillage de la console
Context Menus Can Collapse,,Context Menus Can Collapse,Réduire les menus contextuels
Context Menus Show GM Notes,,Context Menus Show GM Notes,Afficher les notes du MJ dans les menus contex.
Contextual,,Contextual,Contextuel
Contextual - Lower,,Contextual / Lower,Contextual / Lower
Control Scheme,,Control Scheme,Programme de contrôle
Controller,,Controller,Manette
Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,,Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,Contrôles la qualité des textures des objets. Recommandé de laisser activé à moins que vous ayiez une faible capacité RAM ou beaucoup de chargement de Mods avec beaucoup de textures. Désactiver cette option réduira la taille des textures de moitié.
"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.",,"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.","réflectivité des contrôles à des angles de pâturage. Supérieur = pâturage angles, bas = tous les angles."
Cooperative Games,,Cooperative Games,Jeux coopératifs
Copies an object and then deletes it.,,Copies an object and then deletes it.,Copie un objet et puis le supprime.
Copy,,Copy,Copier
Copy all text to clipboard,,Copy all text to clipboard,Copier tout le texte dans le presse papier
Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,,Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,Copier des objets à cloner un autre endroit. Cela peut aussi se faire dans le menu contextuel.
Copy player view.,,Copy player view.,Copier la vue du lecteur.
Copy to clipboard. Useful for scripting.,,Copy to clipboard. Useful for scripting.,Copier dans le presse-papier. Utile pour les scripts.
Core,,Core,de base
Corner,,Corner,Coin
Cosmic Encounter,,Cosmic Encounter,Rencontre cosmique
Counter,,Counter,Compteur
Country,,Country,Pays
Crasc,,Crasc,CRASC
Create Folder,,Create Folder,Créer un dossier
Create Server,,Create Server,Créer
Create States,,Create States,Créer États
Create a new UI asset.,,Create a new UI asset.,Créer un nouvel actif de l'interface utilisateur.
Create a new decal.,,Create a new decal.,Créer une nouvelle décalcomanie.
Create a new rotation value.,,Create a new rotation value.,Créez une nouvelle valeur de rotation.
Create a new save file.,,Create a new save file.,Créer un nouveau fichier de sauvegarde.
Create custom scripts to do a multitude of advanced features.,,Create custom scripts to do a multitude of advanced features.,Créer des scripts personnalisés pour faire une multitude de fonctionnalités avancées.
Create folder in Cloud,,Create folder in Cloud,Créer un dossier en nuage
Create folder in Saved Objects,,Create folder in Saved Objects,Créer un dossier dans les objets enregistrés
Create folder in {0},,Create folder in {0},Créer un dossier dans {0}
Create your own custom tags. These will still be searchable but not available as filters.,,Create your own custom tags. These will still be searchable but not available as filters.,Créez vos propres étiquettes personnalisées. Ceux-ci seront toujours consultables mais non disponible en tant que filtres.
Created,,Created,Établi
Credits,,Credits,Crédits
Crowns,,Crowns,couronnes
Crowns Coin 2,,Crowns Coin 2,Couronnes Coin 2
Crowns Coin 3,,Crowns Coin 3,Couronnes Coin 3
Crowns Coin 4,,Crowns Coin 4,Couronnes Coin 4
Crowns Coin 5,,Crowns Coin 5,Couronnes Coin 5
Crowns Coin Ace,,Crowns Coin Ace,Couronnes Coin Ace
Crowns Coin Blank,,Crowns Coin Blank,Couronnes Coin Blank
Crowns Dice,,Crowns Dice,couronnes Dice
Crowns Square 2,,Crowns Square 2,Couronnes Square 2
Crowns Square 3,,Crowns Square 3,Couronnes Square 3
Crowns Square 4,,Crowns Square 4,Couronnes Square 4
Crowns Square 5,,Crowns Square 5,Couronnes Square 5
Crowns Square Ace,,Crowns Square Ace,Couronnes Place Ace
Crowns Square Blank,,Crowns Square Blank,Couronnes Place Blank
Ctrl,,Ctrl,Ctrl
Current Time,,Current Time,Heure actuelle
Current name of the game you are playing (Shows on server browser and friends list).,,Current name of the game you are playing (Shows on server browser and friends list).,Nom actuel du jeu auquel vous jouez (sur la liste des serveurs et des amis).
Current name of the game you are playing (Shows on server browser).,,Current name of the game you are playing (Shows on server browser).,Nom actuel du jeu auquel vous jouez (sur la liste des serveurs).
Custom,,Custom,Custom
Custom Game,,Custom Game,Jeu personnalisé
Custom LUT,,Custom LUT,LUT sur mesure
Custom Models,,Custom Models,Modèles personnalisés
Custom Rectangle,,Custom Rectangle,Rectangle sur mesure
Custom Square,,Custom Square,Place personnalisée
Custom Token will use the transparency from your .png image to generate a mesh.,,Custom Token will use the transparency from your .png image to generate a mesh.,Jeton personnalisé utilisera la transparence de votre image .png pour générer un maillage.
Custom UI Assets,,Custom UI Assets,Actifs d'interface utilisateur personnalisée
Custom dice type.,,Custom dice type.,Sur mesure Type de dés.
